modelo,tarefa,precision,recall,f1_macro,f1_weighted
Naive Bayes,sentimento,0.9260054446970335,0.6096399988442981,0.6436315588926262,0.8333606914644275
Linear SVM,sentimento,0.9007294069512342,0.9103247522463956,0.9054299280375282,0.9473134997885556
Logistic Regression,sentimento,0.8398528554778555,0.9043945566438416,0.8668034808690332,0.9225020028809913
Naive Bayes,categoria,0.7648699478077219,0.7470790794387105,0.7410954496388098,0.751406537331754
Linear SVM,categoria,0.7972491418695921,0.7925668738780782,0.786577375994968,0.7967548886889246
Logistic Regression,categoria,0.7789323284886132,0.7803639125015823,0.7728210959295433,0.7831202790690184
